מרחב,עיר
299,"אבו ג'ווייעד, ישראל"
299,"אבו קרינאת, ישראל"
299,"אבו קרינאת מערבית לכסיפה, ישראל"
299,"אבו רביעה, ישראל"
299,"אבו רביעה צפונית לכסיפה, ישראל"
299,"אל ג'וויני, ישראל"
299,"אל ג'נאמי, ישראל"
299,"אל עביד, ישראל"
299,"אל קורעאן ב, ישראל"
299,"אל קרישי, ישראל"
299,"אל קרעאן, ישראל"
299,"אל קרעאן דרומית לערד, ישראל"
299,"אל קשכר, ישראל"
299,"ג'נאביב, ישראל"
299,"דריג'את, ישראל"
299,"זבארגה, ישראל"
299,"כוחלה, ישראל"
299,"כסיפה, ישראל"
299,"מכחול, ישראל"
299,"נצאצרה, ישראל"
299,"ערד, ישראל"
299,"ערערה בנגב, ישראל"
299,"קבועה, ישראל"
299,"קודייראת א צאנה, ישראל"
299,"קשכר נבארי, ישראל"
300,"א דנפירי, ישראל"
300,"אבו עפאש, ישראל"
300,"אל ג'רג'אווי, ישראל"
300,"אל ולידי, ישראל"
300,"אל כלאב, ישראל"
300,"עזאזמה, ישראל"
300,"עזאזמה דרומית לרמת חובב, ישראל"
300,"עזאזמה דרומית לשגב שלום, ישראל"
300,"עזאזמה מזרחית לרמת חובב, ישראל"
300,"רמת חובב, ישראל"
300,"תראבין א צאנה שבט, ישראל"
301,"אורון, ישראל"
301,"אל מחד'י צפונית לדימונה, ישראל"
301,"אל ע'ול צפונית לדימונה, ישראל"
301,"אל עמראני דרום מערב לדימונה, ישראל"
301,"דימונה, ישראל"
301,"הוואשלה, ישראל"
301,"ירוחם, ישראל"
301,"קסר א סיר, ישראל"
301,"קרנב אבו סלב, ישראל"
301,"רח'מה, ישראל"
302,"אשלים, ישראל"
302,"באר מילכה, ישראל"
302,"ביר הדאג', ישראל"
302,"טללים, ישראל"
302,"כמהין, ישראל"
302,"מעלה שביט, ישראל"
302,"משאבי שדה, ישראל"
302,"ניצנה כפר נוער, ישראל"
302,"ניצני סיני, ישראל"
302,"עזוז, ישראל"
302,"קציעות, ישראל"
302,"ראם תשלובת חקלאית, ישראל"
302,"רביבים, ישראל"
302,"רוח במדבר, ישראל"
302,"רתמים, ישראל"
302,"שיבטה, ישראל"
305,"מדרשת בן גוריון, ישראל"
305,"מצפה רמון, ישראל"
305,"מרחב עם, ישראל"
305,"שדה בוקר, ישראל"
305,"שלווה במדבר, ישראל"
308,"שיטים, ישראל"
310,"אליפז, ישראל"
310,"באר אורה, ישראל"
310,"גרופית, ישראל"
310,"חצבה, ישראל"
310,"יהל, ישראל"
310,"יטבתה, ישראל"
310,"לוטן, ישראל"
310,"נאות הכיכר, ישראל"
310,"נאות סמדר, ישראל"
310,"נווה חריף, ישראל"
310,"סמר, ישראל"
310,"ספיר, ישראל"
310,"עידן, ישראל"
310,"עין חצבה, ישראל"
310,"עין יהב, ישראל"
310,"עין תמר, ישראל"
310,"עיר אובות, ישראל"
310,"פארן, ישראל"
310,"צופר, ישראל"
310,"צוקים, ישראל"
310,"קטורה, ישראל"
310,"שחרות, ישראל"
311,"אילות, ישראל"
311,"אילת, ישראל"
